region_id,year,pressure_score
BHI-007,2003,0
BHI-007,2004,0
BHI-007,2005,0
BHI-007,2006,0
BHI-007,2007,0
BHI-007,2008,0
BHI-007,2009,0
BHI-007,2010,0
BHI-007,2011,0
BHI-007,2012,0
BHI-007,2013,0
BHI-007,2014,0
BHI-007,2015,0
BHI-007,2016,0
BHI-007,2017,0
BHI-006,1997,0
BHI-006,1998,0
BHI-006,1999,0
BHI-006,2000,0.77
BHI-006,2001,0.6
BHI-006,2002,0.18
BHI-006,2003,0
BHI-006,2004,0
BHI-006,2005,0
BHI-006,2006,0
BHI-006,2007,0
BHI-006,2008,0.19
BHI-006,2009,0
BHI-006,2010,0
BHI-006,2011,0
BHI-006,2012,0
BHI-006,2013,0
BHI-006,2014,0
BHI-006,2015,0
BHI-006,2016,0
BHI-006,2017,0
BHI-005,1997,0
BHI-005,1998,0
BHI-005,1999,0
BHI-005,2000,0.77
BHI-005,2001,0.6
BHI-005,2002,0.18
BHI-005,2003,0
BHI-005,2004,0
BHI-005,2005,0
BHI-005,2006,0
BHI-005,2007,0
BHI-005,2008,0.19
BHI-005,2009,0
BHI-005,2010,0
BHI-005,2011,0
BHI-005,2012,0
BHI-005,2013,0
BHI-005,2014,0
BHI-005,2015,0
BHI-005,2016,0
BHI-005,2017,0
BHI-004,1997,0.13
BHI-004,1998,0
BHI-004,1999,0.22
BHI-004,2000,0.35
BHI-004,2001,0
BHI-004,2002,0.06
BHI-004,2003,0
BHI-004,2004,0
BHI-004,2005,0
BHI-004,2006,0
BHI-004,2007,0
BHI-004,2008,0
BHI-004,2009,0
BHI-004,2010,0
BHI-004,2011,0
BHI-004,2012,0
BHI-004,2013,0
BHI-004,2014,0
BHI-004,2015,0
BHI-004,2016,0
BHI-004,2017,0
BHI-003,1997,0.13
BHI-003,1998,0
BHI-003,1999,0.22
BHI-003,2000,0.35
BHI-003,2001,0
BHI-003,2002,0.06
BHI-003,2003,0
BHI-003,2004,0
BHI-003,2005,0
BHI-003,2006,0
BHI-003,2007,0
BHI-003,2008,0
BHI-003,2009,0
BHI-003,2010,0
BHI-003,2011,0
BHI-003,2012,0
BHI-003,2013,0
BHI-003,2014,0
BHI-003,2015,0
BHI-003,2016,0
BHI-003,2017,0
BHI-002,1997,0
BHI-002,1998,0
BHI-002,1999,0
BHI-002,2000,0.77
BHI-002,2001,0.6
BHI-002,2002,0.18
BHI-002,2003,0
BHI-002,2004,0
BHI-002,2005,0
BHI-002,2006,0
BHI-002,2007,0
BHI-002,2008,0.19
BHI-002,2009,0
BHI-002,2010,0
BHI-002,2011,0
BHI-002,2012,0
BHI-002,2013,0
BHI-002,2014,0
BHI-002,2015,0
BHI-002,2016,0
BHI-002,2017,0
BHI-001,1997,0
BHI-001,1998,0
BHI-001,1999,0
BHI-001,2000,0.77
BHI-001,2001,0.6
BHI-001,2002,0.18
BHI-001,2003,0
BHI-001,2004,0
BHI-001,2005,0
BHI-001,2006,0
BHI-001,2007,0
BHI-001,2008,0.19
BHI-001,2009,0
BHI-001,2010,0
BHI-001,2011,0
BHI-001,2012,0
BHI-001,2013,0
BHI-001,2014,0
BHI-001,2015,0
BHI-001,2016,0
BHI-001,2017,0
