"region_id","year","surf_temp_pressure"
"BHI-038",2010,0.35
"BHI-039",2010,0.52
"BHI-040",2010,0.52
"BHI-041",2010,0.55
"BHI-042",2010,0.55
"BHI-043",2010,0.38
"BHI-001",2011,0.36
"BHI-002",2011,0.36
"BHI-003",2011,0.36
"BHI-005",2011,0.33
"BHI-006",2011,0.33
"BHI-007",2011,0.29
"BHI-008",2011,0.29
"BHI-009",2011,0.44
"BHI-010",2011,0.44
"BHI-011",2011,0.47
"BHI-012",2011,0.47
"BHI-013",2011,0.47
"BHI-014",2011,0.23
"BHI-015",2011,0.23
"BHI-016",2011,0.23
"BHI-017",2011,0.23
"BHI-018",2011,0.59
"BHI-019",2011,0.59
"BHI-020",2011,0.19
"BHI-021",2011,0.19
"BHI-022",2011,0.19
"BHI-023",2011,0.19
"BHI-024",2011,0.19
"BHI-025",2011,0.19
"BHI-026",2011,0.13
"BHI-027",2011,0.41
"BHI-028",2011,0.41
"BHI-029",2011,0.12
"BHI-030",2011,0.12
"BHI-031",2011,0.12
"BHI-032",2011,0.32
"BHI-033",2011,0.32
"BHI-034",2011,0.32
"BHI-035",2011,0.49
"BHI-036",2011,0.49
"BHI-037",2011,0.38
"BHI-038",2011,0.38
"BHI-039",2011,0.5
"BHI-040",2011,0.5
"BHI-041",2011,0.48
"BHI-042",2011,0.48
"BHI-043",2011,0.4
"BHI-001",2012,0.34
"BHI-002",2012,0.34
"BHI-003",2012,0.37
"BHI-005",2012,0.29
"BHI-006",2012,0.29
"BHI-007",2012,0.28
"BHI-008",2012,0.28
"BHI-009",2012,0.41
"BHI-010",2012,0.41
"BHI-011",2012,0.47
"BHI-012",2012,0.47
"BHI-013",2012,0.47
"BHI-014",2012,0.25
"BHI-015",2012,0.25
"BHI-016",2012,0.25
"BHI-017",2012,0.25
"BHI-018",2012,0.62
"BHI-019",2012,0.62
"BHI-020",2012,0.2
"BHI-021",2012,0.2
"BHI-022",2012,0.2
"BHI-023",2012,0.2
"BHI-024",2012,0.2
"BHI-025",2012,0.2
"BHI-026",2012,0.13
"BHI-027",2012,0.39
"BHI-028",2012,0.39
"BHI-029",2012,0.15
"BHI-030",2012,0.15
"BHI-031",2012,0.15
"BHI-032",2012,0.31
"BHI-033",2012,0.31
"BHI-034",2012,0.31
"BHI-035",2012,0.48
"BHI-036",2012,0.48
"BHI-037",2012,0.36
"BHI-038",2012,0.36
"BHI-039",2012,0.46
"BHI-040",2012,0.46
"BHI-041",2012,0.44
"BHI-042",2012,0.44
"BHI-043",2012,0.38
"BHI-001",2013,0.35
"BHI-002",2013,0.35
"BHI-003",2013,0.35
"BHI-005",2013,0.3
"BHI-006",2013,0.3
"BHI-007",2013,0.29
"BHI-008",2013,0.29
"BHI-009",2013,0.42
"BHI-010",2013,0.42
"BHI-011",2013,0.44
"BHI-012",2013,0.44
"BHI-013",2013,0.44
"BHI-014",2013,0.2
"BHI-015",2013,0.2
"BHI-016",2013,0.2
"BHI-017",2013,0.2
"BHI-018",2013,0.6
"BHI-019",2013,0.6
"BHI-020",2013,0.19
"BHI-021",2013,0.19
"BHI-022",2013,0.19
"BHI-023",2013,0.19
"BHI-024",2013,0.19
"BHI-025",2013,0.19
"BHI-026",2013,0.11
"BHI-027",2013,0.36
"BHI-028",2013,0.36
"BHI-029",2013,0.13
"BHI-030",2013,0.13
"BHI-031",2013,0.13
"BHI-032",2013,0.3
"BHI-033",2013,0.3
"BHI-034",2013,0.3
"BHI-035",2013,0.45
"BHI-036",2013,0.45
"BHI-037",2013,0.36
"BHI-038",2013,0.36
"BHI-039",2013,0.43
"BHI-040",2013,0.43
"BHI-041",2013,0.44
"BHI-042",2013,0.44
"BHI-043",2013,0.35
"BHI-001",2014,0.34
"BHI-002",2014,0.34
"BHI-003",2014,0.37
"BHI-005",2014,0.29
"BHI-006",2014,0.29
"BHI-007",2014,0.3
"BHI-008",2014,0.3
"BHI-009",2014,0.41
"BHI-010",2014,0.41
"BHI-011",2014,0.46
"BHI-012",2014,0.46
"BHI-013",2014,0.46
"BHI-014",2014,0.19
"BHI-015",2014,0.19
"BHI-016",2014,0.19
"BHI-017",2014,0.19
"BHI-018",2014,0.58
"BHI-019",2014,0.58
"BHI-020",2014,0.18
"BHI-021",2014,0.18
"BHI-022",2014,0.18
"BHI-023",2014,0.18
"BHI-024",2014,0.18
"BHI-025",2014,0.18
"BHI-026",2014,0.11
"BHI-027",2014,0.33
"BHI-028",2014,0.33
"BHI-029",2014,0.12
"BHI-030",2014,0.12
"BHI-031",2014,0.12
"BHI-032",2014,0.27
"BHI-033",2014,0.27
"BHI-034",2014,0.27
"BHI-035",2014,0.45
"BHI-036",2014,0.45
"BHI-037",2014,0.36
"BHI-038",2014,0.36
"BHI-039",2014,0.42
"BHI-040",2014,0.42
"BHI-041",2014,0.41
"BHI-042",2014,0.41
"BHI-043",2014,0.36
"BHI-001",2015,0.31
"BHI-002",2015,0.31
"BHI-003",2015,0.39
"BHI-005",2015,0.22
"BHI-006",2015,0.22
"BHI-007",2015,0.3
"BHI-008",2015,0.3
"BHI-009",2015,0.41
"BHI-010",2015,0.41
"BHI-011",2015,0.49
"BHI-012",2015,0.49
"BHI-013",2015,0.49
"BHI-014",2015,0.23
"BHI-015",2015,0.23
"BHI-016",2015,0.23
"BHI-017",2015,0.23
"BHI-018",2015,0.59
"BHI-019",2015,0.59
"BHI-020",2015,0.16
"BHI-021",2015,0.16
"BHI-022",2015,0.16
