"region_id","year","surf_sal_pressure"
"BHI-021",2013,0.37
"BHI-022",2013,0.37
"BHI-023",2013,0.37
"BHI-024",2013,0.37
"BHI-025",2013,0.37
"BHI-026",2013,0.27
"BHI-027",2013,0.67
"BHI-028",2013,0.67
"BHI-029",2013,0.28
"BHI-030",2013,0.28
"BHI-031",2013,0.28
"BHI-032",2013,0.68
"BHI-033",2013,0.68
"BHI-034",2013,0.68
"BHI-035",2013,0.26
"BHI-036",2013,0.26
"BHI-037",2013,0.29
"BHI-038",2013,0.29
"BHI-039",2013,0.96
"BHI-040",2013,0.96
"BHI-041",2013,0.53
"BHI-042",2013,0.53
"BHI-043",2013,0.31
"BHI-001",2014,0.43
"BHI-002",2014,0.43
"BHI-003",2014,0.23
"BHI-005",2014,0.06
"BHI-006",2014,0.06
"BHI-007",2014,0.13
"BHI-008",2014,0.13
"BHI-009",2014,0.2
"BHI-010",2014,0.2
"BHI-011",2014,0.26
"BHI-012",2014,0.26
"BHI-013",2014,0.26
"BHI-014",2014,0.43
"BHI-015",2014,0.43
"BHI-016",2014,0.43
"BHI-017",2014,0.43
"BHI-018",2014,0.85
"BHI-019",2014,0.85
"BHI-020",2014,0.4
"BHI-021",2014,0.4
"BHI-022",2014,0.4
"BHI-023",2014,0.4
"BHI-024",2014,0.4
"BHI-025",2014,0.4
"BHI-026",2014,0.28
"BHI-027",2014,0.67
"BHI-028",2014,0.67
"BHI-029",2014,0.33
"BHI-030",2014,0.33
"BHI-031",2014,0.33
"BHI-032",2014,0.66
"BHI-033",2014,0.66
"BHI-034",2014,0.66
"BHI-035",2014,0.29
"BHI-036",2014,0.29
"BHI-037",2014,0.3
"BHI-038",2014,0.3
"BHI-039",2014,0.96
"BHI-040",2014,0.96
"BHI-041",2014,0.48
"BHI-042",2014,0.48
"BHI-043",2014,0.33
"BHI-001",2015,0.42
"BHI-002",2015,0.42
"BHI-003",2015,0.21
"BHI-005",2015,0.01
"BHI-006",2015,0.01
"BHI-007",2015,0.08
"BHI-008",2015,0.08
"BHI-009",2015,0.16
"BHI-010",2015,0.16
"BHI-011",2015,0.15
"BHI-012",2015,0.15
"BHI-013",2015,0.15
"BHI-014",2015,0.34
"BHI-015",2015,0.34
"BHI-016",2015,0.34
"BHI-017",2015,0.34
"BHI-018",2015,0.87
"BHI-019",2015,0.87
"BHI-020",2015,0.4
"BHI-021",2015,0.4
"BHI-022",2015,0.4
"BHI-023",2015,0.4
"BHI-024",2015,0.4
"BHI-025",2015,0.4
"BHI-026",2015,0.25
"BHI-027",2015,0.65
"BHI-028",2015,0.65
"BHI-029",2015,0.38
"BHI-030",2015,0.38
"BHI-031",2015,0.38
